"Module","ModuleName","Requirement","Status","Confidence","EvidenceCount","EvidenceFiles"
"1","Platform Architecture","Purpose","NEEDS-LIVE-VERIFICATION","MEDIUM","2",".agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-mongodb-upgrade\references\migrations-mapping.md"
"1","Platform Architecture","Folder Structure","MISSING-NO-EVIDENCE","HIGH","0",""
"1","Platform Architecture","Coding Standards","MISSING-NO-EVIDENCE","HIGH","0",""
"1","Platform Architecture","Repository","IMPLEMENTED-EVIDENCE","HIGH","37",".agents\skills\prisma-compute\references\app-deploy-cli.md | .agents\skills\prisma-compute\references\compute-config.md | .agents\skills\prisma-compute\references\troubleshooting.md | .agents\skills\prisma-mongodb-upgrade\references\decision-stay-or-migrate.md | .agents\skills\prisma-mongodb-upgrade\references\schema-contract-mapping.md | app\api\customers\route.ts | app\api\payments\create-order\route.ts | app\api\payments\verify\route.ts | docs\DEPLOYMENT.md | lib\ai\ai-prompts.ts | lib\ai\AIRepository.ts | lib\ai\AIService.ts"
"1","Platform Architecture","Service Architecture","MISSING-NO-EVIDENCE","HIGH","0",""
"1","Platform Architecture","Event Bus Integration","MISSING-NO-EVIDENCE","HIGH","0",""
"1","Platform Architecture","Shared Libraries","MISSING-NO-EVIDENCE","HIGH","0",""
"2","Database Architecture","Prisma","IMPLEMENTED-EVIDENCE","HIGH","165",".agents\skills\prisma-cli\references\db-execute.md | .agents\skills\prisma-cli\references\db-pull.md | .agents\skills\prisma-cli\references\db-push.md | .agents\skills\prisma-cli\references\db-seed.md | .agents\skills\prisma-cli\references\debug.md | .agents\skills\prisma-cli\references\dev.md | .agents\skills\prisma-cli\references\format.md | .agents\skills\prisma-cli\references\generate.md | .agents\skills\prisma-cli\references\init.md | .agents\skills\prisma-cli\references\mcp.md | .agents\skills\prisma-cli\references\migrate-deploy.md | .agents\skills\prisma-cli\references\migrate-dev.md"
"2","Database Architecture","PostgreSQL","NEEDS-LIVE-VERIFICATION","MEDIUM","26",".agents\skills\prisma-cli\references\dev.md | .agents\skills\prisma-cli\references\init.md | .agents\skills\prisma-cli\references\studio.md | .agents\skills\prisma-cli\SKILL.md | .agents\skills\prisma-client-api\references\raw-queries.md | .agents\skills\prisma-compute\references\app-deploy-cli.md | .agents\skills\prisma-compute\references\create-prisma.md | .agents\skills\prisma-compute\references\troubleshooting.md | .agents\skills\prisma-database-setup\references\cockroachdb.md | .agents\skills\prisma-database-setup\references\postgresql.md | .agents\skills\prisma-database-setup\references\prisma-postgres.md | .agents\skills\prisma-database-setup\SKILL.md"
"2","Database Architecture","Relationships","MISSING-NO-EVIDENCE","HIGH","0",""
